id,communique,libelle_poste,libelle_emploi_rome,code_emploi_rome,numero,date_mis_en_ligne,libelle_collectivite,libelle_corps_grade,libelle_corps_grade_2,libelle_domaine,libelle_domaine_2,duree_residence_exigee,date_a_pourvoir,date_a_pourvoir_libelle,direction_libelle,direction_acronyme,service_libelle,lieu_travail,date_creation,date_cloture,presentation,emploi_resp,mission,activites_principales,activites_secondaires,conditions_particulieres,savoir,savoir_faire,comportements,commentaire_republication,contact,contact_telephone,contact_email,contact_secondaire,contact_secondaire_telephone,contact_secondaire_email,collectivite_nom_rh,collectivite_adresse_depot,collectivite_adresse_postale,collectivite_email,statut,nb_postes_a_pourvoir,a_pourvoir_autre,url_pdf
62991,0,DT - Commercial - AT,HORS_ROME,,26-0422,2026-03-26,Office des postes et télécommunications,contrôleur,agent d'exploitation,,,,,IMMEDIATEMENT,Office des postes et télécommunications,OPT,,,2026-03-25 10:11:39+11:00,2026-04-16,,,,,,,,,,,,,,,,,,,,,PUBLIE,0,,https://data.gouv.nc/explore/dataset/avis-de-vacances-de-poste-avp-drhfpnc/files/1d35b378fa0b24d7397ffb16e2a9b2aa/download/
62989,0,DT - Chargé d'affaires Télécom grands comptes stratégiques - AE,HORS_ROME,,26-0420,2026-03-26,Office des postes et télécommunications,cadre spécialiste d'exploitation,,,,,,IMMEDIATEMENT,Office des postes et télécommunications,OPT,,,2026-03-25 10:06:26+11:00,2026-04-16,,,,,,,,,,,,,,,,,,,,,PUBLIE,0,,https://data.gouv.nc/explore/dataset/avis-de-vacances-de-poste-avp-drhfpnc/files/890eeb92e19eff0575cd52f616ff56c6/download/
62990,0,DT - Assistant Commercial Pro et Revendeurs - AE,HORS_ROME,,26-0421,2026-03-26,Office des postes et télécommunications,contrôleur,,,,,,IMMEDIATEMENT,Office des postes et télécommunications,OPT,,,2026-03-25 10:10:09+11:00,2026-04-16,,,,,,,,,,,,,,,,,,,,,PUBLIE,0,,https://data.gouv.nc/explore/dataset/avis-de-vacances-de-poste-avp-drhfpnc/files/fafff45544298630ae00430fd07ef837/download/
63021,0,DDI - CHARGÉ DE CONTACT CLIENTÈLE EN SOUTIEN - ZN VOH-KONÉ-POUEMBOUT,HORS_ROME,,26-0438,2026-03-26,Office des postes et télécommunications,agent d'exploitation,,,,,,IMMEDIATEMENT,Office des postes et télécommunications,OPT,,,2026-03-25 10:55:44+11:00,2026-04-16,,,,,,,,,,,,,,,,,,,,,PUBLIE,0,,https://data.gouv.nc/explore/dataset/avis-de-vacances-de-poste-avp-drhfpnc/files/4c30caa0b55abc63564ce9194ae06de9/download/
63022,0,DDI - CHARGÉ DE CONTACT CLIENTÈLE EN SOUTIEN - ZN OUÉGOA-POUÉBO,HORS_ROME,,26-0437,2026-03-26,Office des postes et télécommunications,agent d'exploitation,,,,,,IMMEDIATEMENT,Office des postes et télécommunications,OPT,,,2026-03-25 10:56:19+11:00,2026-04-16,,,,,,,,,,,,,,,,,,,,,PUBLIE,0,,https://data.gouv.nc/explore/dataset/avis-de-vacances-de-poste-avp-drhfpnc/files/90b867f7edd4944c0992eb3e489c122b/download/
